,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,arch_6,arch_7,arch_8,arch_9,arch_10,arch_11,arch_12,arch_13,arch_14,arch_15,arch_16,arch_18
0,IL7R,FABP4,S100P,HMGCS2,HMGCS2,TNXB,GPX3,SREBF1,UGDH,ACTB,MMP11,UGT2B4,CHI3L1,APOD,IGHM,PLIN1,FABP4,FABP4
1,CCL19,ADH1B,MUCL1,PVALB,PVALB,FSTL1,FABP4,ANKRD30A,VMP1,FTL,LRRC15,NXPH1,SFRP4,MMP3,PIM2,FABP4,ADH1B,GPX3
2,SELL,GPX3,TFF3,SREBF1,PNCK,COL14A1,CFD,MIPEP,CYB561,COL3A1,CTHRC1,MUC16,ALPL,TNXB,JCHAIN,PLIN4,PLIN4,ADH1B
3,LTB,PLIN4,TFF1,PSCA,ABCA12,DUSP1,ADH1B,HID1,HMGCS2,TMSB4X,MFAP2,IKZF3,PTGIS,COL14A1,CHI3L1,ADH1B,PLIN1,PLIN4
4,TRAC,PLIN1,ALDH3B2,TACO1,CDH2,CXCL12,APOD,YWHAQ,PIP,VIM,COMP,ITGB6,EMILIN1,DCN,IGHG3,GPX3,GPX3,ADIPOQ
5,TRBC1,LPL,CPB1,ABCA12,PSCA,EFEMP1,GSN,HIST1H1B,PSMC5,SPARC,CILP,TMPRSS4,SERPINF1,FBLN5,IGHA1,CFD,CFD,PLIN1
6,CD2,G0S2,CD24,CDH2,TACO1,EGR1,VIM,TAT,HSP90AA1,COL1A2,FAP,LRRC31,CPXM1,CXCL12,PRDM1,G0S2,GSN,CFD
7,CD48,CFD,FAM3B,CSTA,FNDC11,DCN,RNASE1,SPAG16,CSDE1,COL6A2,PLXDC2,CAPN9,PDGFRA,LUM,IL7R,VIM,VIM,VIM
8,TRBC2,ADIPOQ,SLC39A6,FNDC11,SREBF1,OGN,TMSB4X,FDFT1,STARD3,COL1A1,ANTXR1,PTPRN2,IGHG1,GSN,CXCR4,GSN,G0S2,G0S2
9,BIRC3,VIM,CALML5,SYCP2,CSTA,PENK,G0S2,MAN1A2,CRIP1,FSTL1,JCHAIN,IQCJ,COLEC12,TIMP1,SEL1L3,LPL,RNASE1,LPL
10,ARHGAP15,GSN,TSPAN8,MIPEP,PIP,FOS,PDK4,SHTN1,ERBB2,FTH1,PCDH7,ITGA3,SPON1,PDGFD,IGLC1,RNASE1,ADIPOQ,GSN
11,ZAP70,RNASE1,AGR3,PNCK,PSMG1,COL1A2,CXCL12,GOT2,TAT,TXNIP,FN1,SLC12A2,CLU,IGFBP4,MZB1,ADIPOQ,GLUL,PDK4
12,LCK,APOD,SPTSSB,CYP24A1,NRAS,COL1A1,APOE,MIEN1,PGAP3,TMSB10,LRRC32,PCNT,BGN,TIMP3,ERN1,GLUL,TMSB4X,PNPLA2
13,RIPOR2,PDK4,PLAT,PSMG1,MPHOSPH6,PLTP,DCN,PGAP3,MUC1,B2M,ADAM12,ZNF652,FOS,OGN,DERL3,APOD,FTL,RNASE1
14,IL2RG,TMSB4X,TSPAN1,NRAS,SYCP2,SELENOP,FTL,ANO8,MIEN1,CST3,MEGF6,PIGP,PCOLCE,BOC,IGKC,FTL,LPL,GLUL
15,TRAF3IP3,PNPLA2,DSP,BDH1,BDH1,COL3A1,TXNIP,ABCC11,PSMG1,DCN,BGN,PNMT,CDH11,CCN2,PDK1,TMSB4X,CD36,CD36
16,CYTIP,FTL,DTNA,PIP,CYP24A1,LYVE1,FSTL1,ATP5ME,TACO1,TIMP1,ADAMTS12,PITX1,FBLN1,FSTL1,TRAC,CXCL12,APOD,TMSB4X
17,CCR7,GLUL,CLDN7,MPHOSPH6,MT1G,LGALS1,PLIN4,INTS2,DCAF7,COL6A3,MMP14,NDUFAF6,CCN5,LSP1,ST6GAL1,DCN,PDK4,TXNIP
18,CD6,TXNIP,FXYD3,MT1G,MIPEP,LSP1,F13A1,CDK1,ITPRID2,MXRA5,COL5A2,SLC30A8,FAM20C,ITM2A,IL1R1,FSTL1,TXNIP,FTL
19,RASGRP2,DCN,KRT19,GALNT3,IKZF2,RNASE1,IGFBP4,MGAT4A,POLR1D,COL6A1,IGHA1,AGR2,CCN1,TMEM176B,EVI2B,PNPLA2,DCN,APOD
20,TNFAIP3,F13A1,CEACAM5,TESMIN,RRM2,TMEM176B,GLUL,SRP9,SREBF1,CALD1,CHPF,SPOP,IL1R1,PCDH18,TRBC2,TXNIP,SELENOP,APOE
21,CD52,FSTL1,MACC1,RRM2,ANKRD30A,LUM,ADIPOQ,ATG4D,EHF,LUM,MXRA5,CEACAM6,PLTP,LRP1,IGHG1,CD36,CXCL12,ALDH2
22,CD3E,ANXA1,ZNF552,CPNE7,BAMBI,COL6A2,SELENOP,PSMG1,FOXA1,MGP,TGFB3,PCDH10,C3,ALX4,ARHGAP9,PDK4,C1QA,DCN
23,TBC1D10C,CXCL12,CAPN8,EPCAM,GALNT3,COL6A3,PLIN1,FAM222A,CREB3L1,RNASE1,CRISPLD2,SRPK3,FGF7,PDGFRB,TXNDC5,DEPP1,FTH1,FSTL1
24,ACAP1,CD36,MSMB,IKZF2,FAR1,LMNA,EFEMP1,CNIH2,FXYD3,IGFBP4,ELN,CHAD,PRRX1,OAF,CCL5,FTH1,FSTL1,CRYAB
25,CD3D,PPP1R1A,SCNN1A,SOX2,TFAP2C,MFAP5,COL3A1,PVALB,SCD,MMP2,LIMK1,KRT23,THBS1,C1R,RGS1,COL3A1,DEPP1,FTH1
26,TCF7,FTH1,TACSTD2,MTUS2,EXO1,TIMP2,FTH1,PCBD1,FASN,CCDC80,SPON1,ADGRV1,JUNB,MAF,CD79A,SELENOP,PNPLA2,CXCL12
27,UBD,SELENOP,CEACAM6,FAR1,ABCC11,DAB2,PLTP,FASN,PSMD12,POSTN,KIF26B,DLGAP1,HTRA1,TIMP2,POU2AF1,ANXA1,F13A1,OAZ1
28,KLRB1,ALDH2,NAT1,FBP1,EPCAM,GSN,LUM,MAL2,HSP90AB1,S100A6,GJA1,GRB7,BASP1,APOE,CD27,C1QA,COL3A1,RHOB
29,CD37,ACTB,PPP1R1B,BAMBI,MPV17L,LGMN,C1QA,HSP90AA1,ABCA12,C1QA,SULF1,TFAP2A,POSTN,ADGRA2,CD37,F13A1,PPP1R1A,F13A1
